Experiment,Mean Accuracy,Std Dev,Min,Max
Default-SNN,92.31670673076923,1.228909203684812,90.3545673076923,94.16065705128206
Rate-SNN,94.69651442307693,1.8235728183889612,91.93709935897436,97.25560897435898
Phase-SNN,86.99819711538461,2.074325681098038,83.203125,89.71354166666667
Latency-SNN,90.56991185897436,1.6798714455568442,88.5516826923077,93.58974358974359
TTFS-SNN,92.68429487179488,1.1879209093700454,89.81370192307692,93.98036858974359
Delta-SNN,87.20252403846155,1.600722913180123,83.18309294871794,88.78205128205128
Burst-SNN,93.87920673076924,1.4372382558571768,91.86698717948718,96.51442307692308
Lorenz-SNN,96.97716346153845,0.06472553854728696,96.82491987179488,97.08533653846153
Lorenz-ANN,96.35516826923077,0.16190371799213202,96.18389423076923,96.7548076923077
Umap-ANN,96.9921875,0.051667549585450896,96.89503205128206,97.06530448717949
Default-ANN,98.15905448717949,0.08256996732982913,98.02684294871794,98.3173076923077
