Experiment,Model,Run,Best Accuracy,Convergence Epoch,Final Loss
Default-SNN,SNN,1,93.86017628205128,1,0.09885916578171489
Default-SNN,SNN,2,91.33613782051282,1,0.09876992744811548
Default-SNN,SNN,3,90.3545673076923,3,0.1174578589718574
Default-SNN,SNN,4,94.16065705128206,2,0.1133203090441664
Default-SNN,SNN,5,91.35616987179488,2,0.10319459756413916
Default-SNN,SNN,6,93.95032051282051,7,0.1592807908429024
Default-SNN,SNN,7,91.46634615384616,7,0.10396027373607443
Default-SNN,SNN,8,92.00721153846153,18,0.11702087244525618
Default-SNN,SNN,9,92.11738782051282,1,0.09617633321949352
Default-SNN,SNN,10,92.55809294871794,3,0.0989271511871499
Rate-SNN,SNN,1,93.2792467948718,1,0.14408236421429768
Rate-SNN,SNN,2,94.47115384615384,1,0.145655193145313
Rate-SNN,SNN,3,94.97195512820512,3,0.1410143464261357
Rate-SNN,SNN,4,96.80488782051282,68,0.21256558942604606
Rate-SNN,SNN,5,93.05889423076923,1,0.13138180192356977
Rate-SNN,SNN,6,96.69471153846153,51,0.22754148454474105
Rate-SNN,SNN,7,95.89342948717949,40,0.168442712590709
Rate-SNN,SNN,8,92.59815705128206,2,0.12824246045112467
Rate-SNN,SNN,9,97.25560897435898,68,0.19736055870283764
Rate-SNN,SNN,10,91.93709935897436,0,0.1449646074169999
Phase-SNN,SNN,1,84.98597756410257,6,0.19324502707100832
Phase-SNN,SNN,2,86.68870192307692,14,0.19836482177981032
Phase-SNN,SNN,3,84.43509615384616,2,0.20455880458048809
Phase-SNN,SNN,4,83.203125,28,0.22404038952178476
Phase-SNN,SNN,5,88.4014423076923,3,0.19916080488548735
Phase-SNN,SNN,6,88.81209935897436,4,0.21967616563107675
Phase-SNN,SNN,7,88.91225961538461,4,0.19295257343671834
Phase-SNN,SNN,8,86.61858974358974,5,0.22422293179895347
Phase-SNN,SNN,9,89.71354166666667,3,0.2051581032678652
Phase-SNN,SNN,10,88.21113782051282,3,0.19171743627148083
Latency-SNN,SNN,1,92.578125,5,0.10786853307255138
Latency-SNN,SNN,2,90.1943108974359,7,0.10741074558105677
Latency-SNN,SNN,3,88.5516826923077,3,0.1402696559447437
Latency-SNN,SNN,4,88.72195512820512,0,0.11504063859749107
Latency-SNN,SNN,5,90.08413461538461,4,0.13150188506085378
Latency-SNN,SNN,6,93.58974358974359,3,0.10536218931538781
Latency-SNN,SNN,7,89.60336538461539,5,0.10034338302704363
Latency-SNN,SNN,8,91.796875,18,0.1330758021941643
Latency-SNN,SNN,9,88.77203525641026,1,0.10263925460719456
Latency-SNN,SNN,10,91.80689102564102,6,0.14620958727997882
TTFS-SNN,SNN,1,92.35777243589743,2,0.14576705919507033
TTFS-SNN,SNN,2,93.64983974358974,7,0.1343598058208441
TTFS-SNN,SNN,3,93.98036858974359,8,0.12740797203672954
TTFS-SNN,SNN,4,93.88020833333333,11,0.13146457361887234
TTFS-SNN,SNN,5,91.90705128205128,8,0.11873464645274605
TTFS-SNN,SNN,6,93.60977564102564,8,0.12451646998912717
TTFS-SNN,SNN,7,92.91866987179488,10,0.10648032564532538
TTFS-SNN,SNN,8,92.36778846153847,4,0.13243518244230357
TTFS-SNN,SNN,9,89.81370192307692,6,0.12152813714690125
TTFS-SNN,SNN,10,92.35777243589743,10,0.13137900979983477
Delta-SNN,SNN,1,88.14102564102564,2,0.40912532879678437
Delta-SNN,SNN,2,83.18309294871794,4,0.44774876662398666
Delta-SNN,SNN,3,88.78205128205128,2,0.3735398316811113
Delta-SNN,SNN,4,88.07091346153847,1,0.3899052280489391
Delta-SNN,SNN,5,86.7988782051282,1,0.3806116606813306
Delta-SNN,SNN,6,88.06089743589743,2,0.3983202370761249
Delta-SNN,SNN,7,88.09094551282051,1,0.3981273474891145
Delta-SNN,SNN,8,85.48677884615384,2,0.38068602958213515
Delta-SNN,SNN,9,87.38982371794872,1,0.392837180056048
Delta-SNN,SNN,10,88.02083333333333,1,0.36647295486480475
Burst-SNN,SNN,1,94.46113782051282,4,0.11529563558034193
Burst-SNN,SNN,2,96.51442307692308,44,0.14707234423344046
Burst-SNN,SNN,3,91.9170673076923,0,0.10154828118501404
Burst-SNN,SNN,4,93.7099358974359,3,0.11438803616338425
Burst-SNN,SNN,5,93.92027243589743,2,0.10802675487521367
Burst-SNN,SNN,6,94.28084935897436,1,0.12230549882373545
Burst-SNN,SNN,7,92.1875,0,0.1105067684889386
Burst-SNN,SNN,8,91.86698717948718,4,0.14306942842347034
Burst-SNN,SNN,9,95.13221153846153,2,0.10974685326035773
Burst-SNN,SNN,10,94.8016826923077,3,0.12921561584778082
Lorenz-SNN,SNN,1,97.04527243589743,9,0.17647776226154888
Lorenz-SNN,SNN,2,96.98517628205128,4,0.17775210578782627
Lorenz-SNN,SNN,3,96.97516025641026,12,0.17894196912694055
Lorenz-SNN,SNN,4,96.9951923076923,16,0.17342247930952373
Lorenz-SNN,SNN,5,96.93509615384616,8,0.17858588631646946
Lorenz-SNN,SNN,6,96.82491987179488,3,0.1838981507298274
Lorenz-SNN,SNN,7,96.98517628205128,11,0.18059147871099412
Lorenz-SNN,SNN,8,97.08533653846153,23,0.16890406188889381
Lorenz-SNN,SNN,9,96.97516025641026,14,0.1739469814556054
Lorenz-SNN,SNN,10,96.96514423076923,16,0.17686752215003929
Lorenz-ANN,ANN,1,96.18389423076923,10,0.2410698306794541
Lorenz-ANN,ANN,2,96.29407051282051,10,0.21562755839803663
Lorenz-ANN,ANN,3,96.24399038461539,11,0.21437633286516827
Lorenz-ANN,ANN,4,96.2139423076923,11,0.2531640829685598
Lorenz-ANN,ANN,5,96.39423076923077,18,0.2164740162089658
Lorenz-ANN,ANN,6,96.47435897435898,24,0.21314674983613002
Lorenz-ANN,ANN,7,96.28405448717949,19,0.19752385781910747
Lorenz-ANN,ANN,8,96.7548076923077,53,0.21985449585824823
Lorenz-ANN,ANN,9,96.4443108974359,8,0.3137716799855041
Lorenz-ANN,ANN,10,96.26402243589743,10,0.2712931056292011
Umap-ANN,ANN,1,97.04527243589743,26,0.16141749850104156
Umap-ANN,ANN,2,96.97516025641026,10,0.16421671469624227
Umap-ANN,ANN,3,96.96514423076923,14,0.16836337118934935
Umap-ANN,ANN,4,97.01522435897436,10,0.17158824368977013
Umap-ANN,ANN,5,96.97516025641026,15,0.16916827322580877
Umap-ANN,ANN,6,96.9951923076923,6,0.1655418925369397
Umap-ANN,ANN,7,97.05528846153847,11,0.16412269208842936
Umap-ANN,ANN,8,96.89503205128206,8,0.17187323424821863
Umap-ANN,ANN,9,97.06530448717949,22,0.16086714709989536
Umap-ANN,ANN,10,96.93509615384616,4,0.17193109578548524
