Experiment,Model,Best Accuracy,Spikes at Convergence,Efficiency (Acc/Spike)
Default-SNN,SNN,93.86017628205128,177100072.0,5.2998384033435786e-05
Rate-SNN,SNN,93.2792467948718,216196999.0,4.314548639727964e-05
Phase-SNN,SNN,84.98597756410257,249154168.0,3.410979565234589e-05
Latency-SNN,SNN,92.578125,225767064.0,4.1006036646691744e-05
TTFS-SNN,SNN,92.35777243589743,219033531.0,4.2166042803691746e-05
Delta-SNN,SNN,88.14102564102564,198262121.0,4.445681565215659e-05
Burst-SNN,SNN,94.46113782051282,217336793.0,4.346302184578238e-05
Lorenz-SNN,SNN,97.04527243589743,167831546.0,5.782302239883879e-05
Default-SNN,SNN,91.33613782051282,176068566.0,5.1875323287697374e-05
Rate-SNN,SNN,94.47115384615384,216302127.0,4.367555472358061e-05
Phase-SNN,SNN,86.68870192307692,240998940.0,3.597057394653973e-05
Latency-SNN,SNN,90.1943108974359,228626372.0,3.945052799833429e-05
TTFS-SNN,SNN,93.64983974358974,218828714.0,4.27959558102552e-05
Delta-SNN,SNN,83.18309294871794,200458170.0,4.149648425340705e-05
Burst-SNN,SNN,96.51442307692308,223852550.0,4.3115176966678775e-05
Lorenz-SNN,SNN,96.98517628205128,186390518.0,5.2033320859192685e-05
Default-SNN,SNN,90.3545673076923,178553778.0,5.0603559510061054e-05
Rate-SNN,SNN,94.97195512820512,211515882.0,4.490062600982612e-05
Phase-SNN,SNN,84.43509615384616,241392327.0,3.497836787241632e-05
Latency-SNN,SNN,88.5516826923077,231454027.0,3.825886455296269e-05
TTFS-SNN,SNN,93.98036858974359,222072643.0,4.231965149788558e-05
Delta-SNN,SNN,88.78205128205128,199334813.0,4.4539159992114014e-05
Burst-SNN,SNN,91.9170673076923,225122044.0,4.082988306009353e-05
Lorenz-SNN,SNN,96.97516025641026,186005268.0,5.213570631580729e-05
Default-SNN,SNN,94.16065705128206,175334240.0,5.3703519090898647e-05
Rate-SNN,SNN,96.80488782051282,219403216.0,4.4121909234235116e-05
Phase-SNN,SNN,83.203125,249093327.0,3.3402390181251224e-05
Latency-SNN,SNN,88.72195512820512,225703480.0,3.9309077169835896e-05
TTFS-SNN,SNN,93.88020833333333,219621919.0,4.274628359536979e-05
Delta-SNN,SNN,88.07091346153847,197986249.0,4.448334867010813e-05
Burst-SNN,SNN,93.7099358974359,219136006.0,4.276336764914658e-05
Lorenz-SNN,SNN,96.9951923076923,178595810.0,5.430989243683393e-05
Default-SNN,SNN,91.35616987179488,176887880.0,5.1646370498529846e-05
Rate-SNN,SNN,93.05889423076923,216137222.0,4.3055468821917784e-05
Phase-SNN,SNN,88.4014423076923,244149824.0,3.62078664892637e-05
Latency-SNN,SNN,90.08413461538461,226154228.0,3.983305349276274e-05
TTFS-SNN,SNN,91.90705128205128,223863838.0,4.105488948244124e-05
Delta-SNN,SNN,86.7988782051282,198927407.0,4.3633443734139765e-05
Burst-SNN,SNN,93.92027243589743,221261133.0,4.244770473804698e-05
Lorenz-SNN,SNN,96.93509615384616,181963727.0,5.327165900149218e-05
Default-SNN,SNN,93.95032051282051,177716005.0,5.286542453664796e-05
Rate-SNN,SNN,96.69471153846153,215398170.0,4.489114811813932e-05
