Experiment,Model,Accuracy Mean,Accuracy Std,Convergence Mean,Convergence Std
Default-SNN,SNN,92.31670673076923,1.228909203684812,4.5,4.984977432245807
Rate-SNN,SNN,94.69651442307693,1.8235728183889612,23.5,28.182441342083905
Phase-SNN,SNN,86.99819711538461,2.074325681098038,7.2,7.652450587883597
Latency-SNN,SNN,90.56991185897436,1.6798714455568442,5.2,4.728636167014756
TTFS-SNN,SNN,92.68429487179488,1.1879209093700454,7.4,2.65329983228432
Delta-SNN,SNN,87.20252403846155,1.600722913180123,1.7,0.9
Burst-SNN,SNN,93.87920673076924,1.4372382558571768,6.3,12.641598000252975
Lorenz-SNN,SNN,96.97716346153845,0.06472553854728696,11.6,5.71314274283428
Lorenz-ANN,ANN,96.35516826923077,0.16190371799213202,17.4,12.839003076563225
Umap-ANN,ANN,96.9921875,0.051667549585450896,12.6,6.56048778674269
Default-ANN,ANN,98.15905448717949,0.08256996732982913,30.3,11.739250401963492
