Experiment,Model,Run,Best Accuracy,Convergence Epoch,Final Loss
Lorenz-SNN,SNN,1,93.4475806451613,5,0.5938329389018397
Lorenz-SNN,SNN,2,93.8508064516129,3,0.5534857107746985
Lorenz-SNN,SNN,3,95.26209677419355,7,0.5091503743202456
Lorenz-SNN,SNN,4,94.25403225806451,5,0.539240486198856
Lorenz-SNN,SNN,5,93.54838709677419,16,0.5815168465337446
UMAP-Rate-SNN,SNN,1,44.75806451612903,3,1.7187797369495514
UMAP-Rate-SNN,SNN,2,48.79032258064516,10,1.7165128761722195
UMAP-Rate-SNN,SNN,3,50.90725806451613,4,1.6885928953847578
UMAP-Rate-SNN,SNN,4,45.46370967741935,3,1.7039602148917414
UMAP-Rate-SNN,SNN,5,50.100806451612904,10,1.6880103003594182
UMAP-Phase-SNN,SNN,1,89.41532258064517,10,0.7255200618697751
UMAP-Phase-SNN,SNN,2,89.41532258064517,9,0.7397362782109168
UMAP-Phase-SNN,SNN,3,90.7258064516129,12,0.6825922862175973
UMAP-Phase-SNN,SNN,4,85.48387096774194,5,0.7824327042025905
UMAP-Phase-SNN,SNN,5,89.11290322580645,5,0.8308675423745187
UMAP-Latency-SNN,SNN,1,41.935483870967744,17,1.7123647582146428
UMAP-Latency-SNN,SNN,2,37.70161290322581,7,1.7386361591277584
UMAP-Latency-SNN,SNN,3,25.302419354838708,14,1.9334580475284207
UMAP-Latency-SNN,SNN,4,37.70161290322581,12,1.732716606509301
UMAP-Latency-SNN,SNN,5,35.685483870967744,18,1.7657889050822104
UMAP-TTFS-SNN,SNN,1,30.342741935483872,1,1.9479496209852156
UMAP-TTFS-SNN,SNN,2,19.052419354838708,1,1.9872882058543544
UMAP-TTFS-SNN,SNN,3,10.786290322580646,0,2.191660027350149
UMAP-TTFS-SNN,SNN,4,11.391129032258064,0,2.2014078863205446
UMAP-TTFS-SNN,SNN,5,31.149193548387096,5,1.8100545137159285
UMAP-Burst-SNN,SNN,1,85.48387096774194,9,0.8406551172656398
UMAP-Burst-SNN,SNN,2,93.04435483870968,15,0.7563676401492088
UMAP-Burst-SNN,SNN,3,86.08870967741936,11,0.7242697669613746
UMAP-Burst-SNN,SNN,4,67.23790322580645,9,0.8856228167010892
UMAP-Burst-SNN,SNN,5,89.11290322580645,6,0.8794352489133035
Default-MLP,ANN,1,93.4475806451613,14,0.23196216095839778
Default-MLP,ANN,2,93.95161290322581,25,0.21331369011632859
Default-MLP,ANN,3,93.4475806451613,24,0.2522561517694304
Default-MLP,ANN,4,94.95967741935483,43,0.26003813241503293
Default-MLP,ANN,5,93.14516129032258,10,0.23665289592839056
UMAP-MLP,ANN,1,94.25403225806451,27,0.32836283382869536
UMAP-MLP,ANN,2,94.45564516129032,30,0.31782193121410185
UMAP-MLP,ANN,3,93.24596774193549,34,0.3606219469539581
UMAP-MLP,ANN,4,94.15322580645162,10,0.33044546890643334
UMAP-MLP,ANN,5,93.75,31,0.3738870291459945
Lorenz-MLP,ANN,1,87.3991935483871,12,0.6408493595738565
Lorenz-MLP,ANN,2,88.20564516129032,22,0.6454066614950856
Lorenz-MLP,ANN,3,93.04435483870968,31,0.450728619771619
Lorenz-MLP,ANN,4,88.00403225806451,16,0.7735004944186057
Lorenz-MLP,ANN,5,85.68548387096774,17,0.8406697896219069
