Experiment,Model,Accuracy Mean,Accuracy Std,Convergence Mean,Convergence Std,tmax,num_steps
Lorenz-SNN,SNN,92.37903225806453,1.1044633810324445,35.1,15.3,16,1
Rossler-SNN,SNN,92.55040322580643,1.6388103319512897,42.7,16.870388258721256,16,1
Aizawa-SNN,SNN,91.85483870967742,1.228681369773596,47.0,19.44222209522358,16,1
Nose_hoover-SNN,SNN,92.05645161290322,1.4075411028796028,41.1,18.305463665255797,16,1
Sprott-SNN,SNN,92.69153225806453,0.6442944024707578,33.8,18.263625050903777,16,1
Chua-SNN,SNN,92.58064516129032,1.110885267254511,35.7,21.279332696304177,16,1
Lorenz-SNN,SNN,93.9516129032258,1.0200895677962531,25.4,14.305243793798134,16,10
Rossler-SNN,SNN,93.69959677419357,0.9437659144071,23.8,11.948221624995078,16,10
Aizawa-SNN,SNN,94.2943548387097,0.7505850995559008,19.3,9.849365461794989,16,10
Nose_hoover-SNN,SNN,93.59879032258064,1.0002215057745685,21.8,9.81631295344642,16,10
Sprott-SNN,SNN,94.3548387096774,0.4462891859108585,26.4,13.756453031214114,16,10
Chua-SNN,SNN,93.55846774193547,0.8885275302185618,18.9,6.89129886160802,16,10
Lorenz-SNN,SNN,91.09879032258064,2.569299182567524,37.5,25.13662666309861,16,20
Rossler-SNN,SNN,94.00201612903228,0.4902345328946704,24.4,8.777243302996675,16,20
Aizawa-SNN,SNN,94.3649193548387,0.8804853519478906,19.2,12.139192724394814,16,20
Nose_hoover-SNN,SNN,93.66935483870968,0.8957604794969005,26.9,12.275585525749882,16,20
Sprott-SNN,SNN,94.0625,0.7576595735529651,24.0,10.295630140987,16,20
Chua-SNN,SNN,94.04233870967742,0.9287879978235865,28.9,15.449595463959566,16,20
Lorenz-SNN,SNN,94.14314516129032,0.8269201828554769,20.8,16.191355718407276,16,3
Rossler-SNN,SNN,92.68145161290322,1.5441495273279504,16.5,10.911003620199198,16,3
Aizawa-SNN,SNN,93.91129032258064,0.8778847200434358,20.8,9.99799979995999,16,3
Nose_hoover-SNN,SNN,92.53024193548389,0.8256903782147262,17.6,9.624967532412771,16,3
Sprott-SNN,SNN,94.3850806451613,0.6231273976018382,20.7,10.75220907534819,16,3
Chua-SNN,SNN,93.07459677419354,0.6999336829370971,27.8,13.385066305401706,16,3
Lorenz-SNN,SNN,92.83266129032258,0.8641764987962813,32.5,17.528548142958105,16,5
Rossler-SNN,SNN,93.66935483870968,1.413305013574345,22.6,12.58729518204765,16,5
Aizawa-SNN,SNN,94.00201612903228,1.0952703310484226,21.0,11.480418110852932,16,5
Nose_hoover-SNN,SNN,93.71975806451614,0.7490265317846738,21.0,10.478549517943788,16,5
Sprott-SNN,SNN,94.3850806451613,0.5429529439312621,24.6,8.2365041127896,16,5
Chua-SNN,SNN,94.0826612903226,1.0369353615672874,32.0,9.497368056467012,16,5
Lorenz-SNN,SNN,92.19758064516128,1.1792200657975611,42.2,18.356470248934023,32,1
Rossler-SNN,SNN,91.53225806451614,1.2790904778678949,35.2,14.344336861632886,32,1
