,Experiment,Run,Accuracy,Convergence,Spikes,Lyapunov Sum,Largest Lyapunov,delta,beta,alpha,gamma
0,MixedOsc_d-0.15,0,94.15322580645162,9,11251753.0,0.29999999966032986,0.1563396893312578,-0.15,0.1,2.0,0.1
1,MixedOsc_d-0.15,1,94.15322580645162,20,12674180.0,0.29999999966032986,0.1563396893312578,-0.15,0.1,2.0,0.1
2,MixedOsc_d-0.15,2,95.06048387096774,21,12884828.0,0.29999999966032986,0.1563396893312578,-0.15,0.1,2.0,0.1
3,MixedOsc_d-0.15,3,93.4475806451613,11,11184137.0,0.29999999966032986,0.1563396893312578,-0.15,0.1,2.0,0.1
4,MixedOsc_d-0.15,4,93.6491935483871,21,12897204.0,0.29999999966032986,0.1563396893312578,-0.15,0.1,2.0,0.1
5,MixedOsc_d-0.15,5,93.24596774193549,20,13204463.0,0.29999999966032986,0.1563396893312578,-0.15,0.1,2.0,0.1
6,MixedOsc_d-0.15,6,93.95161290322581,17,12145696.0,0.29999999966032986,0.1563396893312578,-0.15,0.1,2.0,0.1
7,MixedOsc_d-0.15,7,93.6491935483871,7,10551804.0,0.29999999966032986,0.1563396893312578,-0.15,0.1,2.0,0.1
8,MixedOsc_d-0.15,8,94.65725806451613,13,13667901.0,0.29999999966032986,0.1563396893312578,-0.15,0.1,2.0,0.1
9,MixedOsc_d-0.15,9,90.82661290322581,4,9375390.0,0.29999999966032986,0.1563396893312578,-0.15,0.1,2.0,0.1
10,MixedOsc_d-0.30,0,93.34677419354838,20,14220054.0,0.5999999994354508,0.23576208947057042,-0.3,0.1,2.0,0.1
11,MixedOsc_d-0.30,1,92.43951612903226,11,13165207.0,0.5999999994354508,0.23576208947057042,-0.3,0.1,2.0,0.1
12,MixedOsc_d-0.30,2,93.75,12,14085971.0,0.5999999994354508,0.23576208947057042,-0.3,0.1,2.0,0.1
13,MixedOsc_d-0.30,3,91.33064516129032,10,14829921.0,0.5999999994354508,0.23576208947057042,-0.3,0.1,2.0,0.1
14,MixedOsc_d-0.30,4,92.84274193548387,19,14429885.0,0.5999999994354508,0.23576208947057042,-0.3,0.1,2.0,0.1
15,MixedOsc_d-0.30,5,93.8508064516129,7,12688872.0,0.5999999994354508,0.23576208947057042,-0.3,0.1,2.0,0.1
16,MixedOsc_d-0.30,6,93.34677419354838,8,13170904.0,0.5999999994354508,0.23576208947057042,-0.3,0.1,2.0,0.1
17,MixedOsc_d-0.30,7,93.34677419354838,7,12087535.0,0.5999999994354508,0.23576208947057042,-0.3,0.1,2.0,0.1
18,MixedOsc_d-0.30,8,92.23790322580645,18,14851328.0,0.5999999994354508,0.23576208947057042,-0.3,0.1,2.0,0.1
19,MixedOsc_d-0.30,9,93.54838709677419,13,13261003.0,0.5999999994354508,0.23576208947057042,-0.3,0.1,2.0,0.1
20,MixedOsc_d-0.60,0,93.54838709677419,6,16573321.0,1.1999999990703474,0.4414261792034565,-0.6,0.1,2.0,0.1
21,MixedOsc_d-0.60,1,93.75,4,14117366.0,1.1999999990703474,0.4414261792034565,-0.6,0.1,2.0,0.1
22,MixedOsc_d-0.60,2,93.34677419354838,19,16275532.0,1.1999999990703474,0.4414261792034565,-0.6,0.1,2.0,0.1
23,MixedOsc_d-0.60,3,94.15322580645162,11,16153011.0,1.1999999990703474,0.4414261792034565,-0.6,0.1,2.0,0.1
24,MixedOsc_d-0.60,4,92.43951612903226,6,14298969.0,1.1999999990703474,0.4414261792034565,-0.6,0.1,2.0,0.1
25,MixedOsc_d-0.60,5,94.25403225806451,11,16550482.0,1.1999999990703474,0.4414261792034565,-0.6,0.1,2.0,0.1
26,MixedOsc_d-0.60,6,93.8508064516129,7,15688372.0,1.1999999990703474,0.4414261792034565,-0.6,0.1,2.0,0.1
27,MixedOsc_d-0.60,7,93.8508064516129,7,16890694.0,1.1999999990703474,0.4414261792034565,-0.6,0.1,2.0,0.1
28,MixedOsc_d-0.60,8,93.95161290322581,9,16829771.0,1.1999999990703474,0.4414261792034565,-0.6,0.1,2.0,0.1
29,MixedOsc_d-0.60,9,95.06048387096774,7,15915148.0,1.1999999990703474,0.4414261792034565,-0.6,0.1,2.0,0.1
30,MixedOsc_d-1.00,0,93.95161290322581,22,17952972.0,1.999999998565622,0.7915354214300026,-1.0,0.1,2.0,0.1
31,MixedOsc_d-1.00,1,93.6491935483871,6,17848612.0,1.999999998565622,0.7915354214300026,-1.0,0.1,2.0,0.1
32,MixedOsc_d-1.00,2,94.65725806451613,8,18114887.0,1.999999998565622,0.7915354214300026,-1.0,0.1,2.0,0.1
33,MixedOsc_d-1.00,3,93.4475806451613,7,17627363.0,1.999999998565622,0.7915354214300026,-1.0,0.1,2.0,0.1
34,MixedOsc_d-1.00,4,94.0524193548387,10,18189999.0,1.999999998565622,0.7915354214300026,-1.0,0.1,2.0,0.1
35,MixedOsc_d-1.00,5,93.54838709677419,7,18149720.0,1.999999998565622,0.7915354214300026,-1.0,0.1,2.0,0.1
36,MixedOsc_d-1.00,6,94.65725806451613,14,18138353.0,1.999999998565622,0.7915354214300026,-1.0,0.1,2.0,0.1
37,MixedOsc_d-1.00,7,93.8508064516129,9,17586317.0,1.999999998565622,0.7915354214300026,-1.0,0.1,2.0,0.1
38,MixedOsc_d-1.00,8,93.6491935483871,5,17372324.0,1.999999998565622,0.7915354214300026,-1.0,0.1,2.0,0.1
39,MixedOsc_d-1.00,9,93.24596774193549,4,17555922.0,1.999999998565622,0.7915354214300026,-1.0,0.1,2.0,0.1
40,MixedOsc_d-1.50,0,95.16129032258064,13,19141349.0,2.9999986188857117,1.1652216481463118,-1.5,0.1,2.0,0.1
41,MixedOsc_d-1.50,1,93.6491935483871,3,18763232.0,2.9999986188857117,1.1652216481463118,-1.5,0.1,2.0,0.1
42,MixedOsc_d-1.50,2,92.64112903225806,14,19571386.0,2.9999986188857117,1.1652216481463118,-1.5,0.1,2.0,0.1
43,MixedOsc_d-1.50,3,92.74193548387096,4,18757034.0,2.9999986188857117,1.1652216481463118,-1.5,0.1,2.0,0.1
44,MixedOsc_d-1.50,4,94.0524193548387,9,19208641.0,2.9999986188857117,1.1652216481463118,-1.5,0.1,2.0,0.1
