run_id,agent_type,mode_name,delta_value,avg_reward_last_100_ep,max_reward_achieved,avg_spikes_last_100_ep,total_training_time_sec,solved_at_episode,total_episodes_trained
0,ANN,ANN_Baseline,,401.07,500.0,0.0,174.61698651313782,-1,800
0,SNN,SNN_Dissipative,10.0,445.52,500.0,19321.413548202105,1559.2867541313171,753,800
0,SNN,SNN_Expansive,-1.5,248.07,500.0,45029.13014316134,1150.313977241516,-1,800
0,SNN,SNN_Tough,2.5,478.95,500.0,21041.827801387684,1242.1189861297607,797,800
1,ANN,ANN_Baseline,,340.8,500.0,0.0,163.23826146125793,-1,800
1,SNN,SNN_Dissipative,10.0,307.73,500.0,11104.853291617781,990.1335668563843,-1,800
1,SNN,SNN_Expansive,-1.5,9.43,11.0,1937.143493051231,70.85867094993591,-1,800
1,SNN,SNN_Tough,2.5,349.38,500.0,12414.342428430467,947.0535397529602,-1,800
2,ANN,ANN_Baseline,,451.08,500.0,0.0,207.1440920829773,-1,800
2,SNN,SNN_Dissipative,10.0,487.62,500.0,22915.942037732602,1655.8778059482574,722,800
2,SNN,SNN_Expansive,-1.5,269.84,500.0,48442.21275532938,1524.263132095337,-1,800
2,SNN,SNN_Tough,2.5,370.53,500.0,13901.252847550326,1296.9539527893066,-1,800
3,ANN,ANN_Baseline,,117.98,500.0,0.0,128.74227857589722,-1,800
3,SNN,SNN_Dissipative,10.0,421.6,500.0,17903.315303357616,1191.488522529602,-1,800
3,SNN,SNN_Expansive,-1.5,316.33,500.0,59536.937650476546,1519.5076994895935,-1,800
3,SNN,SNN_Tough,2.5,440.74,500.0,22496.840667437315,1254.7122945785522,-1,800
4,ANN,ANN_Baseline,,116.22,381.0,0.0,97.60406851768494,-1,800
4,SNN,SNN_Dissipative,10.0,387.71,500.0,12823.409787819832,975.2887616157532,-1,800
4,SNN,SNN_Expansive,-1.5,393.24,500.0,69180.99826703049,1691.996904373169,414,800
4,SNN,SNN_Tough,2.5,198.9,439.0,5242.340976604744,430.3640253543854,-1,800
5,ANN,ANN_Baseline,,322.19,500.0,0.0,132.40148639678955,-1,800
5,SNN,SNN_Dissipative,10.0,407.36,500.0,15174.4155709216,1568.343827009201,-1,800
5,SNN,SNN_Expansive,-1.5,434.18,500.0,72632.94427511896,1342.6199905872345,-1,800
5,SNN,SNN_Tough,2.5,381.65,500.0,17789.932396883705,1269.020420074463,-1,800
6,ANN,ANN_Baseline,,329.37,500.0,0.0,141.45975756645203,-1,800
6,SNN,SNN_Dissipative,10.0,316.04,500.0,12347.800888366923,620.7553451061249,-1,800
6,SNN,SNN_Expansive,-1.5,381.57,500.0,70255.01464127362,1574.4017314910889,-1,800
6,SNN,SNN_Tough,2.5,426.99,500.0,21136.188933108075,1055.7391436100006,-1,800
7,ANN,ANN_Baseline,,82.84,500.0,0.0,96.34975361824036,-1,800
7,SNN,SNN_Dissipative,10.0,365.36,500.0,11552.212500775959,1397.0461478233337,-1,800
7,SNN,SNN_Expansive,-1.5,286.55,500.0,50549.31826610435,1468.7128887176514,-1,800
7,SNN,SNN_Tough,2.5,351.0,500.0,16193.895190090836,1174.2574603557587,-1,800
8,ANN,ANN_Baseline,,210.68,500.0,0.0,107.77981233596802,-1,800
8,SNN,SNN_Dissipative,10.0,425.42,500.0,24035.59374746131,1066.4289689064026,-1,800
8,SNN,SNN_Expansive,-1.5,84.07,253.0,14817.234268074259,318.963077545166,-1,800
8,SNN,SNN_Tough,2.5,334.38,500.0,15320.454673906564,891.2646510601044,-1,800
9,ANN,ANN_Baseline,,46.11,500.0,0.0,71.4866087436676,-1,800
9,SNN,SNN_Dissipative,10.0,454.44,500.0,16375.265188935547,1176.2429866790771,-1,800
9,SNN,SNN_Expansive,-1.5,382.69,500.0,69169.72939588375,1774.0869839191437,627,800
9,SNN,SNN_Tough,2.5,245.68,500.0,13450.203932510465,1061.226818561554,-1,800
10,ANN,ANN_Baseline,,494.21,500.0,0.0,194.2439308166504,756,800
10,SNN,SNN_Dissipative,10.0,372.98,500.0,14562.446258781702,1577.638658285141,-1,800
10,SNN,SNN_Expansive,-1.5,479.58,500.0,76754.90490918569,2256.0574305057526,346,800
10,SNN,SNN_Tough,2.5,453.05,500.0,27118.95295714766,1468.2006051540375,-1,800
11,ANN,ANN_Baseline,,274.78,500.0,0.0,139.94955730438232,-1,800
11,SNN,SNN_Dissipative,10.0,451.13,500.0,17024.773980920465,1875.6754179000854,695,800
11,SNN,SNN_Expansive,-1.5,355.43,500.0,58349.71113076419,1777.3543162345886,-1,800
11,SNN,SNN_Tough,2.5,371.09,500.0,15029.882381063477,1323.8986341953278,-1,800
12,ANN,ANN_Baseline,,369.72,500.0,0.0,136.90887999534607,-1,800
12,SNN,SNN_Dissipative,10.0,408.74,500.0,15827.106365808397,1679.6897382736206,-1,800
12,SNN,SNN_Expansive,-1.5,396.6,500.0,69655.18320749037,1585.716311454773,-1,800
12,SNN,SNN_Tough,2.5,444.42,500.0,20119.147755728067,1342.7112972736359,-1,800
13,ANN,ANN_Baseline,,185.92,500.0,0.0,127.10821843147278,-1,800
13,SNN,SNN_Dissipative,10.0,198.92,500.0,6850.635442018724,297.51788091659546,-1,800
