episode,reward,loss,spikes_per_episode
1,21.0,149.93182373046875,1649.0
2,14.0,69.71920013427734,1069.0
3,13.0,60.62135314941406,978.0
4,22.0,163.68174743652344,1607.0
5,87.0,2030.5723876953125,6989.0
6,11.0,44.25655746459961,828.0
7,14.0,69.71920013427734,1065.0
8,21.0,149.93182373046875,1563.0
9,13.0,60.62135314941406,953.0
10,24.0,192.8429718017578,1816.0
11,12.0,52.13175964355469,940.0
12,9.0,30.374229431152344,698.0
13,40.0,501.02093505859375,3080.0
14,28.0,257.6573181152344,2220.0
15,13.0,60.62135314941406,976.0
16,15.0,79.41921997070312,1149.0
17,25.0,208.24322509765625,1966.0
18,12.0,52.13175964355469,921.0
19,32.0,330.84283447265625,2518.0
20,25.0,208.24322509765625,1918.0
21,18.0,112.0723648071289,1323.0
22,26.0,224.1826171875,2007.0
23,16.0,89.71537780761719,1249.0
24,13.0,60.62135314941406,1010.0
25,15.0,79.41921997070312,1166.0
26,16.0,89.71537780761719,1200.0
27,26.0,224.1826171875,2013.0
28,18.0,112.0723648071289,1464.0
29,19.0,124.12142944335938,1435.0
30,9.0,30.374229431152344,669.0
31,16.0,89.71537780761719,1205.0
32,14.0,69.71920013427734,1117.0
33,16.0,89.71537780761719,1265.0
34,14.0,69.71920013427734,1090.0
35,16.0,89.71537780761719,1194.0
36,15.0,79.41921997070312,1194.0
37,18.0,112.0723648071289,1398.0
38,22.0,163.68174743652344,1665.0
39,27.0,240.65576171875,2070.0
40,20.0,136.7431640625,1593.0
41,26.0,224.1826171875,2001.0
42,15.0,79.41921997070312,1104.0
43,12.0,52.13175964355469,960.0
44,15.0,79.41921997070312,1091.0
45,12.0,52.13175964355469,895.0
46,17.0,100.60173034667969,1327.0
47,15.0,79.41921997070312,1158.0
48,28.0,257.6573181152344,2087.0
49,26.0,224.1826171875,1926.0
50,22.0,163.68174743652344,1718.0
51,23.0,177.9873046875,1727.0
52,17.0,100.60173034667969,1252.0
53,42.0,548.297607421875,3397.0
54,17.0,100.60173034667969,1382.0
55,18.0,112.0723648071289,1352.0
56,37.0,433.5954284667969,2900.0
57,18.0,112.0723648071289,1399.0
58,19.0,124.12142944335938,1477.0
59,14.0,69.71920013427734,1075.0
60,25.0,208.24322509765625,2042.0
61,21.0,149.93182373046875,1657.0
62,19.0,124.12142944335938,1563.0
63,40.0,501.02093505859375,3017.0
64,21.0,149.93182373046875,1697.0
65,15.0,79.41921997070312,1196.0
66,14.0,69.71920013427734,1124.0
67,28.0,257.6573181152344,2313.0
68,29.0,275.1820068359375,2447.0
69,10.0,33.36957550048828,816.0
70,25.0,213.30516052246094,2034.0
71,43.0,546.9991455078125,3726.0
72,9.0,30.374229431152344,719.0
73,46.0,613.4971313476562,3570.0
74,17.0,94.95882415771484,1324.0
75,50.0,686.6952514648438,4034.0
76,14.0,69.71920013427734,1168.0
77,64.0,1097.0992431640625,4940.0
78,62.0,1083.630615234375,4994.0
79,29.0,272.02593994140625,2533.0
80,23.0,169.31741333007812,1959.0
81,24.0,175.1137237548828,2076.0
82,34.0,380.92681884765625,3255.0
83,73.0,1440.306396484375,6010.0
84,24.0,161.0209197998047,2112.0
85,39.0,442.6733093261719,3759.0
86,18.0,96.13702392578125,1523.0
87,9.0,51.18518829345703,854.0
88,9.0,30.374229431152344,744.0
89,28.0,248.6290740966797,2488.0
90,15.0,73.87017059326172,1356.0
91,15.0,79.41921997070312,1307.0
92,30.0,252.57305908203125,2923.0
93,33.0,334.92254638671875,3122.0
94,40.0,449.0654296875,3754.0
95,22.0,187.21096801757812,2115.0
96,28.0,275.2237243652344,2706.0
97,59.0,937.4201049804688,5860.0
98,14.0,69.71920013427734,1308.0
99,22.0,163.68174743652344,2074.0
100,27.0,224.72914123535156,2607.0
101,16.0,88.75440979003906,1486.0
102,47.0,647.6463623046875,4724.0
103,9.0,27.08887481689453,824.0
104,12.0,52.13175964355469,1106.0
105,26.0,207.48361206054688,2471.0
106,63.0,1141.307373046875,6400.0
107,25.0,199.59596252441406,2449.0
108,11.0,44.25655746459961,1041.0
109,51.0,712.7820434570312,5180.0
110,15.0,79.41921997070312,1425.0
111,13.0,56.30528259277344,1234.0
112,15.0,79.41921997070312,1490.0
113,12.0,70.35429382324219,1149.0
114,31.0,311.7799377441406,2843.0
115,12.0,52.13175964355469,1157.0
116,27.0,219.75076293945312,2718.0
117,13.0,61.09883117675781,1244.0
118,12.0,48.15581130981445,1207.0
119,33.0,332.47247314453125,3266.0
120,16.0,89.71537780761719,1515.0
121,11.0,44.25655746459961,1032.0
122,25.0,205.72421264648438,2434.0
123,33.0,352.0957946777344,3211.0
124,37.0,413.4561767578125,3628.0
125,11.0,44.25655746459961,1031.0
126,15.0,74.43306732177734,1505.0
127,15.0,74.43306732177734,1458.0
128,29.0,266.4462890625,2859.0
129,34.0,373.3963623046875,3381.0
130,76.0,1536.45263671875,7297.0
131,73.0,1393.55615234375,6785.0
132,19.0,117.83484649658203,1885.0
133,18.0,100.7898178100586,1772.0
134,50.0,732.102783203125,5178.0
135,21.0,133.09539794921875,2120.0
136,39.0,470.1943054199219,3874.0
137,17.0,100.60173034667969,1688.0
138,33.0,346.77587890625,3100.0
139,51.0,754.75732421875,5296.0
140,24.0,182.85675048828125,2429.0
141,18.0,98.20907592773438,1828.0
142,19.0,113.5187759399414,1915.0
143,33.0,361.5592346191406,3332.0
144,28.0,261.4546203613281,2871.0
145,26.0,216.9544677734375,2608.0
146,17.0,94.95882415771484,1694.0
147,25.0,187.55552673339844,2442.0
148,15.0,101.6353530883789,1612.0
149,53.0,861.26611328125,5475.0
150,14.0,67.13845825195312,1426.0
151,32.0,306.5028991699219,3329.0
152,28.0,228.98471069335938,2907.0
153,39.0,442.88360595703125,4097.0
154,21.0,130.0724334716797,2112.0
155,116.0,2997.48681640625,12104.0
156,17.0,106.00631713867188,1818.0
157,45.0,507.95989990234375,4722.0
158,34.0,327.7391662597656,3381.0
159,44.0,587.8089599609375,4546.0
160,52.0,723.2254638671875,5365.0
161,64.0,1055.5355224609375,6117.0
162,18.0,121.73568725585938,1988.0
163,59.0,936.1781005859375,6190.0
164,17.0,104.77503967285156,1796.0
165,81.0,1431.0277099609375,8154.0
166,73.0,1292.912841796875,7671.0
167,26.0,231.58944702148438,2848.0
168,84.0,1610.574951171875,8982.0
169,53.0,645.4052734375,5411.0
